run_id,run_date,year,seg_id,seg_name,distance_mi,elapsed_sec,pace_min_per_mi,elev_gain_ft,direction
Cartwright_,2024-07-11,2024,735,Chukar Butte Trail 3,5.874,5841,16.58,1626.6,both
Cartwright_,2024-07-11,2024,716,Bitterbrush Trail 1,5.874,5841,16.58,1626.6,both
Cartwright_,2024-07-11,2024,843,Red Tail Trail 8,5.874,5841,16.58,1626.6,both
Cartwright_,2024-07-11,2024,734,Chukar Butte Trail 2,5.874,5841,16.58,1626.6,both
Cartwright_,2024-07-11,2024,842,Red Tail Trail 7,5.874,5841,16.58,1626.6,both
Cartwright_,2024-07-11,2024,840,Red Tail Trail 5,5.874,5841,16.58,1626.6,both
Cartwright_,2024-07-11,2024,839,Red Tail Trail 4,5.874,5841,16.58,1626.6,both
Cartwright_,2024-07-11,2024,841,Red Tail Trail 6,5.874,5841,16.58,1626.6,both
Cartwright_,2024-07-11,2024,752,Currant Creek 3,5.874,5841,16.58,1626.6,both
Cartwright_,2024-07-11,2024,751,Currant Creek 2,5.874,5841,16.58,1626.6,both
Current_Route,2024-07-15,2024,734,Chukar Butte Trail 2,10.056,9534,15.8,2482.5,both
Current_Route,2024-07-15,2024,733,Chukar Butte Trail 1,10.056,9534,15.8,2482.5,both
Current_Route,2024-07-15,2024,823,Peggy's Trail 1,10.056,9534,15.8,2482.5,both
bobs_,2024-07-12,2024,718,Bob's Trail 2,2.363,2210,15.6,697.0,both
bobs_,2024-07-12,2024,717,Bob's Trail 1,2.363,2210,15.6,697.0,both
bobs_,2024-07-12,2024,800,Highlands Trail 2,2.363,2210,15.6,697.0,both
bogus,2024-07-14,2024,720,Brewers Byway 1,6.012,7093,19.67,1559.8,both
bogus,2024-07-14,2024,918,Sunshine XC 1,6.012,7093,19.67,1559.8,ascent
bogus,2024-07-14,2024,919,Brewer's Byway Extension 1,6.012,7093,19.67,1559.8,both
connector,2024-07-10,2024,814,Military Reserve Connection 1,1.306,1350,17.22,409.6,both
dry_creek,2024-07-05,2024,758,Dry Creek Trail 2,16.755,16376,16.29,8387.1,both
dry_creek,2024-07-05,2024,759,Dry Creek Trail 3,16.755,16376,16.29,8387.1,both
dry_creek,2024-07-05,2024,762,Dry Creek Trail 6,16.755,16376,16.29,8387.1,both
dry_creek,2024-07-05,2024,757,Dry Creek Trail 1,16.755,16376,16.29,8387.1,both
eagle_bike_park_upper,2024-06-25,2024,844,REI Connection 1,4.668,3509,12.53,1052.7,both
eagle_bike_park_upper,2024-06-25,2024,753,D's Chaos 1,4.668,3509,12.53,1052.7,both
eagle_bike_park_upper,2024-06-25,2024,832,Rabbit Run 3,4.668,3509,12.53,1052.7,both
eagle_bike_park_upper,2024-06-25,2024,831,Rabbit Run 2,4.668,3509,12.53,1052.7,both
eagle_bike_park_upper,2024-06-25,2024,830,Rabbit Run 1,4.668,3509,12.53,1052.7,both
hallow,2024-06-20,2024,802,Kemper's Ridge Trail 1,3.421,3357,16.36,1307.3,both
hallow,2024-06-20,2024,803,Kemper's Ridge Trail 2,3.421,3357,16.36,1307.3,both
hallow,2024-06-20,2024,915,Who Now Loop Trail 3,3.421,3357,16.36,1307.3,both
hallow,2024-06-20,2024,804,Kemper's Ridge Trail 3,3.421,3357,16.36,1307.3,both
hallow,2024-06-20,2024,1185,Who Now Loop Trail 4,3.421,3357,16.36,1307.3,both
hallow,2024-06-20,2024,913,Who Now Loop Trail 1,3.421,3357,16.36,1307.3,both
hallow,2024-06-20,2024,801,Hippie Shake Trail 1,3.421,3357,16.36,1307.3,both
hallow,2024-06-20,2024,805,Kemper's Ridge Trail 4,3.421,3357,16.36,1307.3,both
hallow,2024-06-20,2024,1186,Harrison Hollow 1,3.421,3357,16.36,1307.3,both
hidden_springs_,2024-06-25,2024,725,Cartwright Ridge 1,5.979,5036,14.04,1587.0,both
hidden_springs_,2024-06-25,2024,713,Barn Owl 2,5.979,5036,14.04,1587.0,both
hidden_springs_,2024-06-25,2024,726,Cartwright Ridge 2,5.979,5036,14.04,1587.0,both
hidden_springs_,2024-06-25,2024,712,Barn Owl 1,5.979,5036,14.04,1587.0,both
hidden_springs_,2024-06-25,2024,934,Cartwright Connector 1,5.979,5036,14.04,1587.0,both
hulls_,2024-06-27,2024,808,Lower Hull's Gulch Trail 1,5.872,4428,12.57,1149.7,both
hulls_,2024-06-27,2024,835,Red Cliffs 2,5.872,4428,12.57,1149.7,both
hulls_,2024-06-27,2024,699,15th St. Trail 1,5.872,4428,12.57,1149.7,both
hulls_,2024-06-27,2024,731,Chickadee Ridge Trail 1,5.872,4428,12.57,1149.7,both
hulls_,2024-06-27,2024,791,Gold Finch 2,5.872,4428,12.57,1149.7,both
hulls_,2024-06-27,2024,732,Chickadee Ridge Trail 2,5.872,4428,12.57,1149.7,both
hulls_,2024-06-27,2024,822,Owl's Roost 1,5.872,4428,12.57,1149.7,both
kestrel_night_,2024-06-28,2024,749,Crestline Trail 4,4.414,4063,15.34,1157.0,both
kestrel_night_,2024-06-28,2024,748,Crestline Trail 3,4.414,4063,15.34,1157.0,both
kestrel_night_,2024-06-28,2024,806,Kestral Trail 1,4.414,4063,15.34,1157.0,both
kestrel_night_,2024-06-28,2024,834,Red Cliffs 1,4.414,4063,15.34,1157.0,both
kestrel_night_,2024-06-28,2024,747,Crestline Trail 2,4.414,4063,15.34,1157.0,both
loop,2024-07-10,2024,773,Elephant Rock Loop 1,0.682,630,15.39,200.7,both
lower_hard,2024-07-03,2024,719,Bob's Trail 3,13.969,12961,15.46,5491.1,both
lower_hard,2024-07-03,2024,858,Scott's Trail 1,13.969,12961,15.46,5491.1,both
lower_hard,2024-07-03,2024,741,Corrals Trail 4,13.969,12961,15.46,5491.1,both
lower_hard,2024-07-03,2024,792,Hard Guy Trail 1,13.969,12961,15.46,5491.1,ascent
lower_hard,2024-07-03,2024,906,Urban Connector 1,13.969,12961,15.46,5491.1,both
military_reserve_1,2024-06-26,2024,764,Eagle Ridge Trail 2,5.732,4931,14.34,1609.5,both
military_reserve_1,2024-06-26,2024,736,Connection (Eagle Ridge) 1,5.732,4931,14.34,1609.5,both
military_reserve_1,2024-06-26,2024,763,Eagle Ridge Trail 1,5.732,4931,14.34,1609.5,both
military_reserve_1,2024-06-26,2024,744,Cottonwood Creek Trail 2,5.732,4931,14.34,1609.5,both
military_reserve_1,2024-06-26,2024,745,Cottonwood Creek Trail 3,5.732,4931,14.34,1609.5,both
military_reserve_1,2024-06-26,2024,743,Cottonwood Creek Trail 1,5.732,4931,14.34,1609.5,both
military_reserve_1,2024-06-26,2024,847,Ridge Crest 1,5.732,4931,14.34,1609.5,both
military_reserve_1,2024-06-26,2024,728,Central Ridge Trail 2,5.732,4931,14.34,1609.5,both
military_reserve_1,2024-06-26,2024,729,Central Ridge Trail 3,5.732,4931,14.34,1609.5,both
military_reserve_1,2024-06-26,2024,816,Mountain Cove 2,5.732,4931,14.34,1609.5,both
