seg_id,seg_name,trail_name,official_miles,official_direction_rule,traversal,ascent_ft,descent_ft,grade_adjusted_miles,sampled,allowed_for_credit
1481,15th St. Trail 1,15th St. Trail,0.45,both,forward,128,175,0.58,True,True
1481,15th St. Trail 1,15th St. Trail,0.45,both,reverse,175,128,0.63,True,True
1482,36th Street Chute 1,36th Street Chute,0.74,both,forward,21,578,0.76,True,True
1482,36th Street Chute 1,36th Street Chute,0.74,both,reverse,578,21,1.31,True,True
1483,8th Street Motorcycle Trail 1,8th Street Motorcycle Trail,0.44,both,forward,40,278,0.48,True,True
1483,8th Street Motorcycle Trail 1,8th Street Motorcycle Trail,0.44,both,reverse,278,40,0.72,True,True
1484,8th Street Motorcycle Trail 2,8th Street Motorcycle Trail,0.22,both,forward,14,77,0.24,True,True
1484,8th Street Motorcycle Trail 2,8th Street Motorcycle Trail,0.22,both,reverse,77,14,0.3,True,True
1485,8th Street Motorcycle Trail 3,8th Street Motorcycle Trail,0.57,both,forward,458,57,1.02,True,True
1485,8th Street Motorcycle Trail 3,8th Street Motorcycle Trail,0.57,both,reverse,57,458,0.62,True,True
1486,8th Street Motorcycle Trail 4,8th Street Motorcycle Trail,0.14,both,forward,12,69,0.15,True,True
1486,8th Street Motorcycle Trail 4,8th Street Motorcycle Trail,0.14,both,reverse,69,12,0.21,True,True
1488,Around the Mountain Trail 1,Around the Mountain Trail,0.76,ascent,forward,247,77,1.01,True,True
1489,Around the Mountain Trail 2,Around the Mountain Trail,0.53,ascent,forward,115,53,0.64,True,True
1490,Around the Mountain Trail 3,Around the Mountain Trail,2.0,ascent,forward,324,688,2.32,True,True
1491,Around the Mountain Trail 4,Around the Mountain Trail,1.7,ascent,forward,610,286,2.31,True,True
1492,Around the Mountain Trail 5,Around the Mountain Trail,0.44,ascent,forward,70,63,0.51,True,True
1493,Around the Mountain Trail 6,Around the Mountain Trail,0.87,ascent,forward,151,198,1.02,True,True
1494,Barn Owl 1,Barn Owl,0.61,both,forward,92,180,0.7,True,True
1494,Barn Owl 1,Barn Owl,0.61,both,reverse,180,92,0.79,True,True
1495,Barn Owl 2,Barn Owl,0.82,both,forward,144,368,0.97,True,True
1495,Barn Owl 2,Barn Owl,0.82,both,reverse,368,144,1.19,True,True
1496,Big Springs 1,Big Springs,0.43,both,forward,167,28,0.6,True,True
